ParkName,State,partySize,BookingType,RateType,Equipment
Dollar Lake,NS ,2,CampsitePermit,Senior,LT20ft
Amherst Shore,NS ,2,CampsitePermit,Full,Tents
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Salsman,NS ,2,CampsitePermit,Full,LT40ft
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT30ft
Laurie,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Laurie,NS ,1,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Salsman,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,1,CampsitePermit,Full,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,6,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Porters Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,3,CampsitePermit,Full,Tents
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,5,CampsitePermit,Full,LT30ft
Battery,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,3,CampsitePermit,Full,ST
Laurie,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,ST
Salsman,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Five Islands,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,4,CampsitePermit,Full,LT30ft
The Islands,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,1,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Senior,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
The Islands,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,3,CampsitePermit,Full,ST
Valleyview,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Veteran,LT30ft
Ellenwood Lake,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,3,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Salsman,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,5,CampsitePermit,Full,LT40ft
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,Tents
Thomas Raddall,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT40ft
Porters Lake,NS ,2,CampsitePermit,Veteran,LT30ft
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Valleyview,NS ,2,CampsitePermit,Senior,ST
Smileys,NS ,2,CampsitePermit,Senior,LT30ft
Smileys,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Senior,ST
Mira River,NS ,3,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Battery,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Veteran,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,Tents
Five Islands,NS ,2,CampsitePermit,Full,ST
Battery,NS ,3,CampsitePermit,Full,ST
Laurie,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,2,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,4,CampsitePermit,Full,Tents
